,program,L,D,var,:,Integer,Boolean,begin,end,:=,read,write,If,then,else,while,do,+,-,*,{D},TRUE,FALSE,<,>,<=,>=,=,$,PR,ID,BL,VDS,VDM,VD,IDS,TY,CS,ST,SiS,AS,RS,WS,SS,IS,EX,AE,T,F,LI,IL,BE
1,s1,s3, ,r12,r12, , ,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,2, , , , ,4, , , , , , , , , , , , , , , , 
2,, , ,s10, , , ,s11, , , , , , , , , , , , , ,s8,s9, , , , , , , , ,5,6, , , , ,7, , , , , , , , , , , , , , 
3,,r1,s12,r1,r1, , ,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1, ,r1,r1,r1,r1,r1,r1,r1, , , , , , , , , , , , , , , , , , , , , , , , 
4,,s3, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , ,13, , , , ,4, , , , , , , , , , , , , , , , 
5,, , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , 
6,,r3, , , , , ,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3, , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , 
7,,r4, , , , , ,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4, , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , 
8,,r44, , , , , ,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44, , , , , , , , , , , ,r44, , , , , , , , , , , , , , , , , , , , , , , 
9,,r45, , , , , ,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45, , , , , , , , , , , ,r45, , , , , , , , , , , , , , , , , , , , , , , 
10,,s3, ,r12,r12, , ,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12,r8, ,16, , ,15,14,4, , , , , , , , , , , , , , , , 
11,,s3, ,r12,r12, , ,s11,r18,r18,s26,s27,s29,r12,s30,s28,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,25, , , , ,4, ,24,17,18,20,21,22,19,23, , , , , , , 
