,program,var,:,integer,boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,il,TRUE,FALSE,<,>,<=,>=,=,$,PR,BL,VDS,VDM,VD,ID,IDS,TY,CS,ST,SiS,AS,RS,WS,SS,IS,EX,AE,T,F,LI,BE
0,s1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,2,3, , , , , , , , , , , , , , , 
2, ,s9, , , ,s10, , , , , , , , , , , , , ,s7,s8, , , , , , , ,4,5, , , , , ,6, , , , , , , , , , , , , 
3, ,r8,r8, , ,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8, ,r8,r8,r8,r8,r8,r8,r8, , , , , , ,11,3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , 
5, , , , , ,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1, , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , 
6, , , , , ,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2, , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , 
7, , , , , ,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41, , , , , , , , , , , ,r41, , , , , , , , , , , , , , , , , , , , , , 
8, , , , , ,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42, , , , , , , , , , , ,r42, , , , , , , , , , , , , , , , , , , , , , 
9, ,r10,r10, , ,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10,r6, , , ,13,12,14,3, , , , , , , , , , , , , , , 
10, ,r10,r10, , ,s10,r16,r16,s24,s25,s27,r10,s28,s26,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,23,3, ,22,15,16,18,19,20,17,21, , , , , , 
11, ,r9,r9, , ,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9, ,r9,r9,r9,r9,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , 
12, ,r10,r10, , ,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10,r3, , , ,29,30,14,3, , , , , , , , , , , , , , , 
13, , , , , ,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4, , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , 
14, , ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , , , , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, ,r10,r10, , ,s10,r16,r16,s24,s25,s27,r10,s28,s26,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,23,3, ,22,33,16,18,19,20,17,21, , , , , , 
17, ,r10,r10, , ,s10,r16,r16,s24,s25,s27,r10,s28,s26,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,23,3, ,22,34,16,18,19,20,17,21, , , , , , 
18, , , , , ,r17,r17,r17,r17,r17,r17, ,r17,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , , ,r18,r18,r18,r18,r18,r18, ,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , , , ,r19,r19,r19,r19,r19,r19, ,r19,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , , ,r24,r24,r24,r24,r24,r24, ,r24,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , , ,r26,r26,r26,r26,r26,r26, ,r26,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,36,3, , , , , , , , , , , , , , , 
